Order Date,Customer ID,Category,Region,Sales,Profit,Discount,Quantity
2022-01-01,CUST-075,Furniture,West,560.32,214.07,0.0,4
2022-01-02,CUST-006,Apparel,West,45.26,17.99,0.05,4
2022-01-03,CUST-028,Office Supplies,West,69.46,28.26,0.0,3
2022-01-04,CUST-010,Furniture,West,438.43,165.76,0.0,4
2022-01-05,CUST-032,Electronics,West,140.79,-29.94,0.5,2
2022-01-07,CUST-005,Electronics,East,211.71,72.28,0.1,5
2022-01-08,CUST-078,Electronics,West,211.44,57.45,0.2,5
2022-01-09,CUST-031,Apparel,West,54.91,13.96,0.15,2
2022-01-10,CUST-050,Office Supplies,East,47.72,16.04,0.15,5
2022-01-11,CUST-074,Office Supplies,East,60.91,24.79,0.0,1
2022-01-13,CUST-057,Electronics,West,310.02,111.49,0.0,2
2022-01-14,CUST-025,Apparel,North,59.47,12.3,0.2,4
2022-01-15,CUST-045,Office Supplies,East,23.08,-15.84,0.65,2
2022-01-16,CUST-028,Electronics,West,160.83,54.8,0.05,3
2022-01-18,CUST-003,Electronics,North,178.57,59.71,0.05,4
2022-01-19,CUST-012,Electronics,South,313.33,90.9,0.1,3
2022-01-20,CUST-038,Electronics,West,76.0,-55.25,0.65,4
2022-01-21,CUST-014,Furniture,West,202.67,80.97,0.05,5
2022-01-22,CUST-028,Furniture,North,240.07,86.55,0.1,2
2022-01-24,CUST-028,Electronics,North,133.72,23.01,0.3,1
2022-01-25,CUST-074,Office Supplies,West,78.7,30.74,0.0,4
2022-01-26,CUST-031,Electronics,West,283.28,126.55,0.0,4
2022-01-27,CUST-001,Electronics,West,321.5,89.41,0.15,3
2022-01-28,CUST-046,Furniture,East,219.33,-37.92,0.5,5
2022-01-30,CUST-077,Furniture,East,399.58,168.01,0.0,3
2022-01-31,CUST-021,Office Supplies,West,39.55,11.51,0.1,3
2022-02-01,CUST-074,Electronics,East,262.87,88.79,0.1,5
2022-02-02,CUST-026,Furniture,North,234.71,88.8,0.1,1
2022-02-04,CUST-066,Furniture,West,484.92,123.98,0.15,3
2022-02-05,CUST-055,Electronics,West,315.85,121.16,0.1,3
2022-02-06,CUST-020,Office Supplies,North,39.73,12.24,0.1,4
2022-02-07,CUST-046,Electronics,North,345.18,104.56,0.1,5
2022-02-08,CUST-079,Electronics,East,297.38,92.62,0.15,2
2022-02-10,CUST-058,Apparel,East,75.58,22.46,0.1,1
2022-02-11,CUST-005,Apparel,West,31.34,4.41,0.3,1
2022-02-12,CUST-018,Office Supplies,East,52.82,21.32,0.0,5
2022-02-13,CUST-056,Electronics,East,185.93,38.64,0.3,4
2022-02-15,CUST-068,Electronics,West,135.38,23.4,0.3,4
2022-02-16,CUST-002,Office Supplies,West,29.75,9.61,0.05,5
2022-02-17,CUST-000,Furniture,West,468.81,161.91,0.1,4
2022-02-18,CUST-057,Electronics,West,147.8,48.5,0.1,1
2022-02-19,CUST-037,Furniture,West,446.47,177.16,0.0,1
2022-02-21,CUST-014,Electronics,West,360.26,129.3,0.05,2
2022-02-22,CUST-033,Apparel,West,99.08,43.98,0.0,5
2022-02-23,CUST-060,Electronics,West,195.06,74.69,0.05,3
2022-02-24,CUST-034,Office Supplies,North,51.08,5.67,0.3,3
2022-02-25,CUST-063,Electronics,East,125.48,50.19,0.05,2
2022-02-27,CUST-024,Furniture,East,147.85,27.38,0.3,2
2022-02-28,CUST-023,Furniture,North,404.86,156.99,0.1,4
2022-03-01,CUST-011,Electronics,East,159.81,24.26,0.3,2
2022-03-02,CUST-017,Apparel,West,54.25,13.51,0.15,2
2022-03-04,CUST-014,Office Supplies,East,57.48,25.57,0.0,3
2022-03-05,CUST-079,Apparel,East,42.34,13.99,0.15,4
2022-03-06,CUST-026,Apparel,North,51.25,21.47,0.0,2
2022-03-07,CUST-071,Furniture,East,361.55,111.21,0.1,2
2022-03-08,CUST-059,Apparel,West,45.15,-10.3,0.5,4
2022-03-10,CUST-045,Electronics,West,295.55,120.7,0.0,5
2022-03-11,CUST-016,Electronics,West,199.98,68.22,0.05,4
2022-03-12,CUST-052,Electronics,East,196.49,46.43,0.2,3
2022-03-13,CUST-007,Electronics,East,123.94,10.69,0.3,5
2022-03-15,CUST-078,Furniture,West,199.28,51.16,0.15,1
2022-03-16,CUST-026,Electronics,South,321.7,126.89,0.05,4
2022-03-17,CUST-045,Office Supplies,East,35.13,11.28,0.15,3
2022-03-18,CUST-049,Furniture,West,262.7,107.15,0.05,5
2022-03-19,CUST-070,Electronics,West,251.67,68.05,0.2,4
2022-03-21,CUST-002,Furniture,West,228.08,-68.4,0.5,2
2022-03-22,CUST-063,Electronics,West,239.33,62.65,0.2,4
2022-03-23,CUST-043,Office Supplies,West,27.55,5.04,0.3,1
2022-03-24,CUST-052,Electronics,West,193.42,72.29,0.0,4
2022-03-25,CUST-023,Apparel,West,41.52,10.16,0.2,5
2022-03-27,CUST-059,Office Supplies,West,25.47,4.91,0.3,5
2022-03-28,CUST-002,Electronics,North,305.11,125.68,0.0,4
2022-03-29,CUST-019,Electronics,West,249.11,38.63,0.3,5
2022-03-30,CUST-045,Office Supplies,East,62.81,21.46,0.05,2
2022-04-01,CUST-014,Office Supplies,East,59.31,20.79,0.15,4
2022-04-02,CUST-024,Office Supplies,South,34.2,6.01,0.3,2
2022-04-03,CUST-077,Office Supplies,West,52.97,15.47,0.15,2
2022-04-04,CUST-070,Electronics,West,225.52,95.42,0.0,3
2022-04-05,CUST-016,Furniture,South,355.65,57.04,0.15,4
2022-04-07,CUST-008,Electronics,North,233.24,78.22,0.1,5
2022-04-08,CUST-037,Apparel,North,24.37,-4.2,0.5,2
2022-04-09,CUST-047,Office Supplies,West,43.11,12.22,0.1,3
2022-04-10,CUST-059,Electronics,West,367.13,130.15,0.05,4
2022-04-12,CUST-062,Electronics,East,158.1,46.84,0.2,4
2022-04-13,CUST-001,Electronics,South,150.59,49.19,0.1,1
2022-04-14,CUST-071,Electronics,East,206.13,53.82,0.15,1
2022-04-15,CUST-010,Office Supplies,East,59.23,15.97,0.15,2
2022-04-16,CUST-063,Office Supplies,West,40.91,7.76,0.3,1
2022-04-18,CUST-076,Apparel,North,72.28,17.24,0.15,2
2022-04-19,CUST-071,Furniture,West,253.26,85.86,0.1,5
2022-04-20,CUST-020,Electronics,West,295.4,128.23,0.0,2
2022-04-21,CUST-017,Office Supplies,East,44.47,19.21,0.0,1
2022-04-22,CUST-063,Office Supplies,East,72.05,31.72,0.0,5
2022-04-24,CUST-037,Furniture,West,460.75,170.32,0.0,1
2022-04-25,CUST-031,Office Supplies,West,32.08,10.86,0.15,2
2022-04-26,CUST-010,Furniture,East,184.29,54.71,0.2,3
2022-04-27,CUST-044,Furniture,West,199.25,58.66,0.1,4
2022-04-29,CUST-032,Furniture,East,248.87,41.08,0.3,1
2022-04-30,CUST-040,Electronics,West,70.76,-41.06,0.65,2
2022-05-01,CUST-007,Electronics,East,211.8,43.81,0.3,5
2022-05-02,CUST-010,Electronics,East,224.25,75.4,0.15,1
2022-05-03,CUST-050,Office Supplies,West,37.23,13.6,0.1,1
2022-05-05,CUST-040,Electronics,West,154.26,48.59,0.1,4
2022-05-06,CUST-016,Furniture,West,255.9,111.13,0.0,2
2022-05-07,CUST-075,Apparel,West,93.34,38.13,0.05,3
2022-05-08,CUST-045,Electronics,South,98.14,-24.82,0.5,5
2022-05-10,CUST-031,Furniture,West,328.93,38.95,0.3,2
2022-05-11,CUST-078,Office Supplies,North,70.78,28.77,0.0,5
2022-05-12,CUST-079,Electronics,West,264.71,86.78,0.1,1
2022-05-13,CUST-053,Electronics,East,251.25,42.64,0.3,4
2022-05-14,CUST-019,Electronics,North,235.59,94.65,0.0,4
2022-05-16,CUST-032,Electronics,East,365.22,134.3,0.05,3
2022-05-17,CUST-073,Apparel,East,31.91,5.07,0.3,4
2022-05-18,CUST-039,Office Supplies,East,29.26,8.43,0.1,1
2022-05-19,CUST-031,Office Supplies,West,62.57,28.06,0.0,3
2022-05-20,CUST-001,Apparel,South,93.5,28.23,0.1,2
2022-05-22,CUST-032,Office Supplies,North,49.48,9.72,0.3,4
2022-05-23,CUST-076,Electronics,South,129.35,33.52,0.15,3
2022-05-24,CUST-029,Apparel,West,56.11,21.8,0.0,1
2022-05-25,CUST-032,Furniture,North,554.39,184.22,0.05,5
2022-05-27,CUST-076,Office Supplies,South,36.6,13.84,0.1,5
2022-05-28,CUST-025,Apparel,West,78.41,22.52,0.15,1
2022-05-29,CUST-021,Electronics,West,279.87,69.93,0.2,1
2022-05-30,CUST-065,Electronics,North,262.8,99.7,0.0,5
2022-05-31,CUST-037,Electronics,East,163.8,22.6,0.3,3
2022-06-02,CUST-045,Furniture,North,387.65,153.48,0.0,5
2022-06-03,CUST-014,Office Supplies,West,37.29,14.02,0.05,1
2022-06-04,CUST-043,Apparel,North,100.04,41.93,0.0,4
2022-06-05,CUST-048,Electronics,West,238.42,88.28,0.05,2
2022-06-06,CUST-074,Furniture,West,507.64,190.73,0.1,4
2022-06-08,CUST-060,Furniture,West,222.41,62.73,0.1,4
2022-06-09,CUST-066,Electronics,North,392.9,148.74,0.0,1
2022-06-10,CUST-005,Electronics,East,211.67,50.99,0.15,5
2022-06-11,CUST-008,Electronics,East,144.63,61.8,0.0,3
2022-06-13,CUST-005,Apparel,West,30.99,6.28,0.2,4
2022-06-14,CUST-072,Electronics,North,164.5,-43.06,0.5,5
